client_id,1711,3000,3001,3005,3006,3007,3008,3009,3058,3066,3075,3132,3144,3174,3256,3260,3359,3387,3389,3390,3393,3395,3405,3504,3509,3596,3640,3684,3722,3730,3771,3775,3780,4111,4112,4121,4131,4214,4411,4511,4722,4784,4814,4829,4899,4900,5045,5094,5192,5193,5211,5251,5261,5300,5310,5311,5411,5499,5533,5541,5621,5651,5655,5661,5712,5719,5722,5732,5733,5812,5813,5814,5815,5816,5912,5921,5932,5941,5942,5947,5970,5977,6300,7011,7210,7230,7276,7349,7393,7531,7538,7542,7549,7801,7802,7832,7922,7995,7996,8011,8021,8041,8043,8049,8062,8099,8111,8931,9402
0,5,3,4,1,2,2,1,0,8,4,0,8,1,1,4,4,18,15,18,18,10,5,16,36,24,19,25,47,25,25,20,7,31,0,1,523,0,140,0,6,46,0,285,249,50,287,10,1,0,20,235,10,0,460,337,559,606,910,0,865,4,37,10,16,8,151,0,25,0,1845,1931,945,1,12,500,0,0,0,185,1,114,0,7,30,0,119,0,51,10,0,432,55,0,1,0,80,0,0,12,28,27,2,5,2,3,3,0,0,136
1,5,0,2,0,1,0,0,0,1,1,1,1,0,3,1,1,4,0,3,3,0,6,6,3,0,3,9,9,18,0,3,3,0,0,2,6004,0,0,0,1,3,43,206,479,53,122,1,3,0,0,64,36,2,230,78,183,257,174,4,291,0,33,12,22,3,21,0,4,0,379,221,197,0,0,212,4,1,0,22,2,14,0,0,3,0,161,4,0,0,5,200,23,2,0,0,62,39,0,2,1,79,4,2,1,0,5,6,4,0
2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,1,0,0,0,3,3,3,3,3,6,3,1,0,0,0,121,0,0,2,1374,0,1,6,0,179,123,59,189,2,0,107,12,367,2,0,783,426,819,672,693,4,877,8,26,9,0,2,199,1,1,2,0,0,0,119,0,764,4,0,0,148,6,187,52,114,0,36,160,24,46,0,1,423,0,0,0,0,1,0,0,0,9,4,5,6,1,0,5,0,29,1368
3,5,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,3,0,0,4,3,6,0,3,0,0,3,1,6,116,2,0,0,0,0,1,7,0,52,3,0,258,1,1,0,30,26,1,0,1063,116,590,966,81,0,570,9,50,11,7,1,29,0,2,0,69,0,33,133,3,987,22,1,0,17,0,19,1,48,3,0,130,0,52,0,0,382,0,0,0,0,27,1,1,0,3,14,0,10,0,0,9,2,0,1
4,3,2,2,0,0,2,0,0,6,5,1,4,0,3,4,0,20,0,2,13,0,20,11,32,12,11,13,19,19,9,18,18,10,0,0,1,7,48,1,5,29,0,276,246,79,253,4,5,0,16,95,31,0,241,84,222,2162,1084,10,1201,15,50,15,7,4,48,2,8,1,2583,1959,1307,0,10,973,23,1,13,715,1,33,4,109,32,12,118,0,63,0,9,282,76,5,3,2,93,1,8,2,8,3,10,8,10,5,9,5,0,39
5,0,2,2,0,0,0,0,0,1,3,0,1,0,2,2,2,0,6,9,9,3,1,10,12,6,10,22,18,21,3,15,9,16,25,2,1,5,0,0,1,16,41,195,510,51,381,4,10,0,2,43,17,6,155,126,184,97,458,1,590,4,39,5,4,2,40,0,11,0,77,1,54,121,6,129,134,0,2,17,13,32,4,5,4,32,90,0,59,0,1,344,0,3,0,0,144,32,1,0,29,116,25,32,23,3,28,5,0,0
11,6,2,3,0,0,0,0,1,4,1,2,1,1,4,1,5,18,19,5,13,3,6,7,15,25,26,19,32,16,16,25,16,18,0,4,47,4,0,0,3,23,0,175,29,67,241,0,1,0,6,76,17,0,339,187,270,1236,183,1,736,1,15,6,13,15,41,0,1,0,2975,0,1484,2,0,304,0,8,0,37,3,56,19,10,18,23,44,0,0,0,3,426,109,1,74,65,74,29,134,0,7,32,0,1,0,7,1,0,0,1
13,0,1,2,0,0,1,1,0,1,2,0,3,0,1,3,3,6,9,7,0,3,10,12,4,10,21,12,19,3,17,10,9,13,9,0,0,1,96,0,2,24,122,183,44,57,168,2,17,103,0,158,65,11,450,116,352,392,379,0,518,0,29,2,2,1,42,0,6,0,140,2077,80,0,1,298,0,1,0,20,0,22,26,0,9,0,102,1,56,0,0,224,244,0,2,0,101,0,2,17,29,6,0,7,3,0,4,1,2,100
14,4,3,0,1,0,0,0,0,1,3,1,5,0,2,2,0,7,3,3,0,9,0,3,6,9,12,10,16,17,5,6,3,9,10,1,0,1,1,2,0,38,0,233,473,0,245,2,0,0,0,115,27,3,334,135,232,502,781,0,868,2,19,0,0,4,32,0,3,1,179,0,88,119,0,333,2,2,0,47,2,34,0,107,10,94,112,0,84,0,0,98,31,0,0,0,143,1,0,6,44,63,3,22,1,0,6,8,0,0
